paper_name,snotel_name,triplet,paper_lat,paper_lon,snotel_lat,snotel_lon,elevation,region,match_quality,distance
Forestdale Creek,Forestdale Creek,1049:CA:SNTL,38.68,-119.96,38.68245,-119.9597,2443.6,1,EXACT,0.00024682990094421285
Horse Meadow,Horse Meadow,1050:CA:SNTL,38.84,-119.89,38.83652,-119.88732,2608.2,1,EXACT,0.0004392356998242748
Burnside Lake,Burnside Lake,1051:CA:SNTL,38.72,-119.89,38.71943,-119.8942,2477.7,1,EXACT,0.0004238502093897456
Summit Meadow,Heavenly Valley,518:CA:SNTL,38.92,-119.92,38.92431,-119.91641,2.2,1,EXACT,0.005609295855986793
Independence Lake,Independence Lake,541:CA:SNTL,39.43,-120.31,39.42752,-120.31342,2541.4,1,EXACT,0.00042245473130186504
Monitor Pass,Monitor Pass,633:CA:SNTL,38.67,-119.61,38.6683,-119.6087,2531.7,1,EXACT,0.00021400934559032624
Rubicon #2,Rubicon #2,724:CA:SNTL,39.0,-120.13,38.99927,-120.13139,2322.3,1,EXACT,0.00015700318468100634
Squaw Valley G.C.,Palisades Tahoe,784:CA:SNTL,39.19,-120.27,39.18986,-120.26576,2442.4,1,EXACT,0.004242310691116685
Ward Creek #3,Ward Creek #3,848:CA:SNTL,39.14,-120.22,39.13545,-120.21865,2205.0,1,EXACT,0.00047460509900360904
Leavitt Lake,Leavitt Lake,574:CA:SNTL,38.28,-119.54,38.27594,-119.61281,2927.3,1,EXACT,0.007292310813451755
Heavenly Valley,Summit Meadow,1052:CA:SNTL,38.4,-119.54,38.39747,-119.53522,2608.6,1,EXACT,0.005408262197795591
Cascade Summit,Cascade Summit,388:OR:SNTL,43.59,-122.06,43.59042,-122.0601,1554.5,2,EXACT,4.3174066289758354e-05
Little Meadows,Little Meadows,584:OR:SNTL,44.61,-122.23,44.61297,-122.22565,1225.3,2,EXACT,0.0005267200394897302
Mt Hood Test Site,Mt Hood Test Site,651:OR:SNTL,45.32,-121.72,45.32097,-121.7158,1636.8,2,EXACT,0.0004310556808578451
Mt Hoe,Mud Ridge,655:OR:SNTL,45.25,-121.74,45.25362,-121.73673,1240.5,2,EXACT,0.004878247636189538
Lynn Lake,Lynn Lake,1069:WA:SNTL,47.2,-121.78,47.20172,-121.77972,1188.7,2,EXACT,0.00017426416728627862
Cayuse Pass,Cayuse Pass,1085:WA:SNTL,46.87,-121.53,46.86956,-121.53434,1597.2,2,EXACT,0.0004362247127340476
Lone Pine,Lone Pine,591:WA:SNTL,46.27,-121.96,46.27143,-121.96288,1197.9,2,EXACT,0.0003215478191501912
Mount Crag,Mount Crag,648:WA:SNTL,47.76,-123.03,47.7637,-123.026,1207.0,2,EXACT,0.0005448853090335081
Pigtail Peak,Pigtail Peak,692:WA:SNTL,46.62,-121.39,46.62153,-121.38643,1767.8,2,EXACT,0.00038840442839881655
Marten Ridge,Marten Ridge,999:WA:SNTL,48.76,-121.7,48.76292,-121.69823,1072.9,2,EXACT,0.0003414571715463779
Mud Ridge,Calamity,1109:WA:SNTL,45.87,-122.17,45.90362,-122.21633,1700.8,2,CLOSE,0.05724310700861468
Cascade Mountain,Cascade Mountain,1039:UT:SNTL,40.28,-111.61,40.283,-111.60992,2369.5,3,EXACT,0.00030010664771044644
Usu Doc Daniel,Usu Doc Daniel,1098:UT:SNTL,41.86,-111.51,41.86425,-111.50603,2520.7,3,EXACT,0.0005815788854494922
Big Flat,Big Flat,339:UT:SNTL,38.3,-112.36,38.30183,-112.35672,3154.4,3,EXACT,0.0003755968583474033
Farmington,Farmington,474:UT:SNTL,40.97,-111.81,40.97462,-111.80975,2408.5,3,EXACT,0.0004626759124919883
Farnsworth Lake,Farnsworth Lake,475:UT:SNTL,38.77,-111.68,38.77246,-111.67662,2933.1,3,EXACT,0.0004180430599835845
Mammoth-Cottonwood,Mammoth-Cottonwood,612:UT:SNTL,39.68,-111.32,39.68338,-111.31818,2654.5,3,EXACT,0.0003838853995658282
Midway Valley,Midway Valley,626:UT:SNTL,37.57,-112.84,37.56933,-112.83849,2995.3,3,EXACT,0.00016519685227117835
Parleys Summit,Parleys Summit,684:UT:SNTL,40.76,-111.63,40.76184,-111.62917,2311.9,3,EXACT,0.00020185390756669193
Snowbird,Snowbird,766:UT:SNTL,40.57,-111.66,40.56914,-111.65852,2931.3,3,EXACT,0.0001711724276864565
Trial Lake,Trial Lake,10J08:UT:SNOW,40.68,-110.95,40.67933,-110.94877,3045.6,3,EXACT,0.00014006427096215085
Clayton Springs,Clayton Springs,983:UT:SNTL,37.97,-111.83,37.9725,-111.83355,3062.9,3,EXACT,0.00043419465680749896
Lone Cone,Arapaho Ridge,1030:CO:SNTL,40.35,-106.38,40.35098,-106.38141,3340.6,4,EXACT,0.001717119681331707
Zirkel,Zirkel,1033:CO:SNTL,40.79,-106.6,40.79492,-106.59544,2846.8,4,EXACT,0.0006708203932496827
Bison Lake,Bison Lake,345:CO:SNTL,39.76,-107.36,39.76458,-107.35628,3316.2,4,EXACT,0.0005900406765643231
Butte,Butte,380:CO:SNTL,38.89,-106.95,38.89435,-106.95327,3096.8,4,EXACT,0.0005442003307608659
Lily Pond,Lily Pond,580:CO:SNTL,37.38,-106.55,37.38028,-106.54823,3352.8,4,EXACT,0.0001792010044607629
Lizard Head Pass,Lizard Head Pass,586:CO:SNTL,37.8,-107.92,37.79895,-107.92475,3109.0,4,EXACT,0.00048646685395833033
Niwot,Niwot,663:CO:SNTL,40.04,-105.54,40.03581,-105.5452,3020.6,4,EXACT,0.0006678031146968725
Schofield Pass,Schofield Pass,737:CO:SNTL,39.02,-107.05,39.01467,-107.04933,3261.4,4,EXACT,0.0005371945643806073
Mesa Lakes,Mesa Lakes,622:CO:SNTL,39.06,-108.06,39.05738,-108.05756,3048.0,4,EXACT,0.00035802234567183344
Culebra #2,Culebra #2,430:CO:SNTL,37.21,-105.2,37.20939,-105.19988,3200.4,4,EXACT,6.216912416983906e-05
Cumbres Trestle,Cumbres Trestle,431:CO:SNTL,37.02,-106.45,37.01877,-106.45275,3060.2,4,EXACT,0.0003012540456152257
