date,station,PREC,SNWD,TAVG,TMAX,TMIN,WTEQ,station_name,WSPDV
2008-01-01,1049:CA:SNTL,9.2,26.0,38.3,56.8,23.5,6.1,Forestdale Creek,
2008-01-02,1049:CA:SNTL,9.2,26.0,39.2,46.2,31.6,6.1,Forestdale Creek,
2008-01-03,1049:CA:SNTL,9.4,27.0,30.0,37.2,24.1,6.4,Forestdale Creek,
2008-01-04,1049:CA:SNTL,12.9,52.0,26.8,32.0,17.2,10.8,Forestdale Creek,
2008-01-05,1049:CA:SNTL,15.1,73.0,17.8,20.8,15.1,13.5,Forestdale Creek,
2008-01-06,1049:CA:SNTL,15.1,71.0,15.6,19.6,13.8,13.5,Forestdale Creek,
2008-01-07,1049:CA:SNTL,15.1,66.0,18.3,27.9,14.2,13.5,Forestdale Creek,
2008-01-08,1049:CA:SNTL,16.7,70.0,24.6,30.0,19.9,15.0,Forestdale Creek,
2008-01-09,1049:CA:SNTL,16.7,67.0,23.5,30.6,18.3,15.0,Forestdale Creek,
2008-01-10,1049:CA:SNTL,16.7,63.0,33.4,38.7,27.1,15.0,Forestdale Creek,
2008-01-11,1049:CA:SNTL,16.7,61.0,32.9,38.5,27.9,15.0,Forestdale Creek,
2008-01-12,1049:CA:SNTL,16.7,60.0,31.8,39.9,24.4,15.0,Forestdale Creek,
2008-01-13,1049:CA:SNTL,16.7,59.0,29.5,47.3,21.4,15.0,Forestdale Creek,
2008-01-14,1049:CA:SNTL,16.7,57.0,35.2,51.1,24.1,15.0,Forestdale Creek,
2008-01-15,1049:CA:SNTL,16.7,57.0,30.7,45.7,13.6,15.0,Forestdale Creek,
2008-01-16,1049:CA:SNTL,16.7,56.0,14.0,25.0,7.2,15.0,Forestdale Creek,
2008-01-17,1049:CA:SNTL,16.7,55.0,19.9,33.8,6.4,15.0,Forestdale Creek,
2008-01-18,1049:CA:SNTL,16.7,54.0,23.9,38.3,14.5,15.0,Forestdale Creek,
2008-01-19,1049:CA:SNTL,16.7,53.0,28.8,44.4,14.5,15.0,Forestdale Creek,
2008-01-20,1049:CA:SNTL,16.7,54.0,21.6,30.0,13.5,15.0,Forestdale Creek,
2008-01-21,1049:CA:SNTL,17.0,57.0,14.7,19.8,11.5,15.2,Forestdale Creek,
2008-01-22,1049:CA:SNTL,17.4,60.0,13.5,19.4,11.1,15.7,Forestdale Creek,
2008-01-23,1049:CA:SNTL,17.7,60.0,14.0,21.7,11.1,15.7,Forestdale Creek,
2008-01-24,1049:CA:SNTL,18.4,67.0,14.9,17.2,12.6,16.7,Forestdale Creek,
2008-01-25,1049:CA:SNTL,18.4,67.0,23.2,27.0,16.0,16.7,Forestdale Creek,
2008-01-26,1049:CA:SNTL,18.4,64.0,29.7,34.2,25.7,16.7,Forestdale Creek,
2008-01-27,1049:CA:SNTL,20.4,79.0,25.7,33.3,22.6,19.1,Forestdale Creek,
2008-01-28,1049:CA:SNTL,21.0,80.0,11.3,23.7,5.2,19.9,Forestdale Creek,
2008-01-29,1049:CA:SNTL,21.7,83.0,17.6,24.3,12.0,20.8,Forestdale Creek,
2008-01-30,1049:CA:SNTL,21.7,80.0,14.4,23.4,8.2,20.8,Forestdale Creek,
2008-01-31,1049:CA:SNTL,22.7,85.0,23.0,29.5,17.4,22.1,Forestdale Creek,
2008-02-01,1049:CA:SNTL,22.7,82.0,19.8,25.5,15.4,22.1,Forestdale Creek,
2008-02-02,1049:CA:SNTL,24.4,91.0,19.2,22.6,14.4,24.0,Forestdale Creek,
